uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type,duration
REVBOLT_00019812,REVOS,REVOS,"68/17,plot no.3, main kanjhawla road, near goel tiles , KARALA ,New Delhi,110081",28.73395321821796,77.02251557260752,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+918930303053""]",charging,110081,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019219,REVOS,REVOS,"68/17,plot no.3,main kanjhawla road, near goel tiles,KARALA, New Dwlhi , 110081",28.73381004464677,77.02246829867363,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+918930303053""]",charging,110081,north-west-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019782,REVOS,REVOS,447 Brhampuri main road ghonda,28.68838413935686,77.26978875696658,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919911281192""]",charging,110053,east-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019804,REVOS,REVOS,447 Brhampuri main road ghonda,28.68845178665998,77.26993326097727,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919911281192""]",charging,110053,east-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00023604,REVOS,REVOS,i 2 Hari nagar jaitpur near love kush chok,28.50507374562435,77.32243046164513,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919810042100""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00016228,REVOS,REVOS,jagdamba market rithala,28.72247166263574,77.10451539605856,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919811530422""]",charging,110085,north-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022690,REVOS,REVOS,86C Gali no 14B Molarband ext Badarpur,28.49968154340364,77.31418669223785,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+918447183786""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00022615,REVOS,REVOS,86C Gali no14B molarband ext Badarpur,28.4996600341495,77.31416959315537,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+918447183786""]",charging,110044,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00019811,REVOS,REVOS,C. 46 thana road bhajan pura,28.70262028614178,77.26525984704494,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919871800853""]",charging,110053,east-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
REVBOLT_00021263,REVOS,REVOS,AB BLOCK DABUL STORY A1 BACK E,28.54461393157915,77.25089862942696,New Delhi,India,2025-04-26 00:00:00,2025-04-26 00:00:00,https://ev.delhitransport.in/static/logo/revos.png,unstaffed,UPI,"[""+919811631923""]",charging,110019,south-delhi,,1.0,3.3,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']",0 days 00:00:00
